causality_actor_process_image_path,os_actor_process_image_path,os_actor_process_image_name,action_local_port,action_remote_ip,dst_action_external_hostname,action_remote_port,count_endpoints,is_standard_application,main_domain,main_subdomain,registered_domain
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53,75.75.75.75,cdns01.comcast.net,53,1,TRUE,comcast.net,cdns01.comcast.net,comcast.net
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53,8.8.8.8,dns.google,53,1,TRUE,dns.google,.dns.google,dns.google
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53365,8.8.8.8,dns.google,53,1,TRUE,dns.google,.dns.google,dns.google
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53,192.168.32.1,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53,192.168.86.1,No DNS Record found,53,4,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53,192.168.1.1,No DNS Record found,53,3,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,56149,192.168.1.1,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Maps.app/Contents/MacOS/Maps,/System/Applications/Maps.app/Contents/MacOS/Maps,Maps,61987,2.20.196.58,a2047.dscapi9.akamai.net,443,1,TRUE,akamai.net,a2047.dscapi9.akamai.net,akamai.net
/System/Library/CoreServices/mapspushd,/System/Library/CoreServices/mapspushd,mapspushd,62337,17.56.140.27,mr36d-bistunium-k8scontour-tcp-ext.ls.apple.com,443,1,TRUE,apple.com,mr36d-bistunium-k8scontour-tcp-ext.ls.apple.com,apple.com
/System/Applications/Maps.app/Contents/MacOS/Maps,/System/Applications/Maps.app/Contents/MacOS/Maps,Maps,51168,23.54.23.161,a23-54-23-161.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a23-54-23-161.deploy.static.akamaitechnologies.com,akamaitechnologies.com
